period,sector,partnerDesc,export_value_usd,year_sector_total,share
2019,aluminum,Mexico,3554921840.0,10937898321.0,0.32500958919820994
2019,aluminum,Canada,2755335816.0,10937898321.0,0.25190724352501503
2019,aluminum,China,675286526.0,10937898321.0,0.06173823399907614
2019,cement,Canada,121799790.0,169847976.0,0.7171106354543784
2019,cement,Mexico,16480564.0,169847976.0,0.0970312651826949
2019,cement,Bahamas,10012054.0,169847976.0,0.05894714930250332
2019,iron_steel,Canada,9626601568.0,33065773965.0,0.2911349233255427
2019,iron_steel,Mexico,9555393536.0,33065773965.0,0.28898139647704446
2019,iron_steel,Türkiye,1156246026.0,33065773965.0,0.03496806175545391
2020,aluminum,Mexico,2804926019.0,9389712361.0,0.2987233166641195
2020,aluminum,Canada,2477636410.0,9389712361.0,0.26386712550331337
2020,aluminum,Rep. of Korea,570600491.0,9389712361.0,0.06076868694827957
2020,cement,Canada,110116892.0,145026000.0,0.7592906927033773
2020,cement,Mexico,12304675.0,145026000.0,0.08484461406920138
2020,cement,Bahamas,5844261.0,145026000.0,0.04029802242356543
2020,iron_steel,Canada,8264641664.0,28273207428.0,0.29231355109060675
2020,iron_steel,Mexico,8100034630.0,28273207428.0,0.28649153622302637
2020,iron_steel,Türkiye,1108325450.0,28273207428.0,0.0392005559617684
2021,aluminum,Mexico,3695168638.0,12022206026.0,0.30736194588651944
2021,aluminum,Canada,3045794942.0,12022206026.0,0.25334742520740094
2021,aluminum,Malaysia,958763202.0,12022206026.0,0.07974935714181879
2021,cement,Canada,137583183.0,173206806.0,0.794328965341004
2021,cement,Mexico,12913760.0,173206806.0,0.07455688548404962
2021,cement,Bahamas,7133474.0,173206806.0,0.04118472111309529
2021,iron_steel,Mexico,11735045393.0,37803895002.0,0.31041895001504904
2021,iron_steel,Canada,11512151292.0,37803895002.0,0.30452288822067025
2021,iron_steel,Türkiye,1526828123.0,37803895002.0,0.040388116698536584
2022,aluminum,Mexico,4765180499.0,14511112356.0,0.32838147635385867
2022,aluminum,Canada,3606218999.0,14511112356.0,0.2485143047982062
2022,aluminum,Malaysia,1066057959.0,14511112356.0,0.0734649372733449
2022,cement,Canada,134777128.0,171420430.0,0.7862372530508761
2022,cement,Mexico,12126321.0,171420430.0,0.07074023207152147
2022,cement,Bahamas,8427940.0,171420430.0,0.04916531827624047
2022,iron_steel,Mexico,13820276069.0,42898694879.0,0.32216075822309864
2022,iron_steel,Canada,13444657219.0,42898694879.0,0.31340480769687706
2022,iron_steel,Türkiye,1549984085.0,42898694879.0,0.036131264351325444
2023,aluminum,Mexico,4395413120.0,14277975455.0,0.3078456839944189
2023,aluminum,Canada,3343014121.0,14277975455.0,0.23413782517950127
2023,aluminum,Malaysia,1223436908.0,14277975455.0,0.08568700176407468
2023,cement,Canada,148512364.0,198767363.0,0.7471667468869122
2023,cement,Mexico,19200147.0,198767363.0,0.09659607447727724
2023,cement,Bahamas,8735802.0,198767363.0,0.043949881248864786
2023,iron_steel,Mexico,14331917048.0,43186308980.0,0.33186251352569285
2023,iron_steel,Canada,13102418559.0,43186308980.0,0.30339287770732754
2023,iron_steel,Türkiye,1709643993.0,43186308980.0,0.03958763861463022
