DW_NAME,VALUE
Aruba,88.3
Afghanistan,16.9
Angola,40.8
Albania,38.7
United Arab Emirates,108.6
Argentina,12.7
Armenia,59.5
Australia,26.8
Austria,59.5
Azerbaijan,49
Burundi,5.3
Belgium,84.2
Benin,20
Burkina Faso,28.9
Bangladesh,13.2
Bulgaria,61.9
Bahrain,87.4
"Bahamas, The",37.8
Bosnia and Herzegovina,43.9
Belarus,66
Belize,55.3
Bermuda,50.2
Bolivia,25.5
Brazil,18
Brunei Darussalam,76.7
Bhutan,28.3
Botswana,32.2
Central African Republic,14.4
Canada,33.3
Switzerland,73.3
Chile,30.8
China,19.1
Cote d'Ivoire,24.3
Cameroon,16.6
"Congo, Dem. Rep.",43.8
"Congo, Rep.",56.9
Colombia,17.8
Comoros,10.4
Cabo Verde,38.3
Costa Rica,38.9
Cuba,43.5
Cyprus,97.2
Czechia,69
Germany,43.4
Djibouti,150
Denmark,68
Dominican Republic,21.3
Algeria,23.6
Ecuador,28.6
"Egypt, Arab Rep.",19.1
Spain,38.1
Estonia,77.9
Ethiopia,6.6
Finland,43.1
Fiji,57
France,34.3
Faroe Islands,57.7
"Micronesia, Fed. Sts.",28.3
Gabon,64.2
United Kingdom,32
Georgia,49.3
Ghana,31.8
Guinea,44.1
"Gambia, The",9.6
Guinea-Bissau,13.7
Equatorial Guinea,36.6
Greece,43.7
Greenland,40.8
Guatemala,16.6
"Hong Kong SAR, China",176.8
Honduras,37.4
Croatia,52.9
Haiti,5.3
Hungary,80.8
Indonesia,21.8
India,21.4
Ireland,135.1
"Iran, Islamic Rep.",24.2
Iraq,39.6
Iceland,43.4
Israel,30.4
Italy,33.5
Jordan,43.5
Japan,21.9
Kazakhstan,34.5
Kenya,11.7
Kyrgyz Republic,36.9
Cambodia,66.9
Kiribati,5.9
"Korea, Rep.",44
Lebanon,30.6
Libya,85.1
Sri Lanka,20.7
Lesotho,42.9
Lithuania,76.5
Luxembourg,217.8
Latvia,66.5
"Macao SAR, China",91.4
Morocco,42.8
Moldova,35.1
Madagascar,27
Maldives,74.4
Mexico,36.2
Marshall Islands,38.9
North Macedonia,67.8
Mali,24.9
Malta,124.6
Montenegro,50
Mongolia,76.3
Mozambique,45.3
Mauritania,38.3
Mauritius,47.5
Malaysia,68.6
Namibia,43.6
Niger,23.7
Nicaragua,45.8
Netherlands,88.5
Norway,47.9
Nepal,7
Nauru,43.4
New Zealand,23.7
Oman,61.1
Pakistan,10.5
Panama,46.5
Peru,27.1
Philippines,26.6
Poland,57.9
Puerto Rico (US),53.7
Portugal,47.5
Paraguay,42.1
West Bank and Gaza,17.7
French Polynesia,23.1
Romania,39.2
Russian Federation,22.5
Rwanda,25
Saudi Arabia,30.2
Sudan,1.1
Senegal,23.1
Singapore,181.6
Sierra Leone,21.5
El Salvador,31.4
"Somalia, Fed. Rep.",19.7
Serbia,55.1
Slovak Republic,91.3
Slovenia,83.3
Sweden,55.4
Eswatini,48.7
Seychelles,83.4
Chad,29.8
Togo,23.9
Thailand,65.4
Tajikistan,17.2
Turkmenistan,21.6
Timor-Leste,22.9
Tonga,18.8
Tunisia,53.7
Turkiye,31.9
Tanzania,17.2
Uganda,11.6
Ukraine,28.3
Uruguay,28.1
United States,11
Uzbekistan,24.4
Viet Nam,86.5
Samoa,28.8
Kosovo,39.6
South Africa,32.8
Zambia,40.8
Zimbabwe,21.6
