cn4,avg_tonnes_per_year,avg_eur_per_year
2601,2198596.64925,359815968.0
2804,7174.1345,211891614.66666666
2808,126.02575,661240.3333333334
2814,140968.9055,123764021.33333333
2834,993.23225,2551691.0
3102,628516.7490000001,345710439.6666667
3105,16574.99325,24159402.666666668
7201,8.34,85450.0
7202,1624.27825,6387879.333333333
7203,423826.23375,157081132.66666666
7205,9980.8335,31239871.0
7208,876.3385,1241477.0
7209,269.83425,1103114.0
7210,6022.252,12510288.666666666
7211,524.53425,1782925.6666666667
7212,7255.21925,46011226.0
7213,181.50825,412416.6666666667
7214,1115.5800000000002,2962083.6666666665
7215,546.77075,2780257.6666666665
7216,546.52125,2290080.0
7217,2354.66025,9389414.666666666
7218,9549.702,16412618.666666666
7219,6805.805,52668530.333333336
7220,5099.81625,173249297.0
7221,459.7315,6051328.0
7222,3269.658,63704573.333333336
7223,883.949,34248259.666666664
7224,1015.45925,9176562.0
7225,15647.5475,29773351.333333332
7226,470.884,4950394.333333333
7227,156.654,593194.0
7228,4338.52325,71467203.66666667
7229,349.55325,2247970.3333333335
7301,87.62575,1930529.6666666667
7302,158.6815,796506.0
7303,94.02875,652901.6666666666
7304,19076.676,75336610.0
7305,296.5355,1054674.6666666667
7306,3187.89375,31807786.666666668
7307,3864.1555,241793760.66666666
7308,4772.114750000001,30773367.333333332
7309,2204.12875,16343546.333333334
7310,5673.70225,31713437.666666668
7311,3075.71025,29791187.666666668
7318,15591.8975,677407614.0
7326,49263.21725,676726607.0
7601,9435.48175,52407910.333333336
7603,507.2115,8405468.333333334
7604,3498.37425,68415521.66666667
7605,3917.36025,20284330.0
7606,20978.487500000003,190201387.33333334
7607,2439.3920000000003,31544579.666666668
7608,505.2845,11607692.333333334
7609,284.1655,24948694.333333332
7610,2195.8745,38477987.0
7611,104.1525,3412592.0
7612,1612.054,24447912.0
7613,318.71325,26328564.0
7614,324.96225000000004,6204467.0
7616,4070.48975,240703152.33333334
